55 . 3 16 . . 14 3 4 0 0 0 .
74 0 2 16 1 55 8 3 4 1 0 1 6
84 3 0 20 . . 10 1 4 1 0 1 .
54 0 5 14 2 27.5 14 3 4 0 1 1 4
23 2 1 13 1 . 16 3 4 0 0 0 .
25 8 1 6 . 16.25 2 0 3 1 1 0 .
81 0 2 14 . 16.25 12 0 2 1 0 1 .
48 3 1 14 3 100 . 4 4 0 1 1 6
46 4 0 12 4 16.25 12 6 7 0 0 1 2
51 7 6 6 3 27.5 6 1 5 0 1 0 1
86 7 0 14 . 18.75 16 0 4 1 0 0 .
54 0 2 10 2 55 2 0 2 0 1 0 6
45 0 0 14 . 82.5 13 3 2 1 0 1 .
75 2 3 18 1 82.5 . 2 2 1 0 1 6
23 2 0 14 . 37.5 . 2 3 0 0 1 .
63 7 1 13 1 67.5 8 0 6 1 0 1 .
82 7 5 12 2 11.25 . 2 4 1 0 1 .
50 1 3 14 3 200 12 3 4 1 0 1 6
83 7 4 18 . 32.5 12 5 5 0 0 1 .
67 0 0 19 . . 16 0 2 0 1 1 .
84 2 2 13 . 67.5 . 4 4 1 1 1 .
59 2 1 16 3 13.75 12 0 2 1 0 0 6
45 0 0 20 2 82.5 16 0 2 1 0 1 6
55 0 0 14 2 67.5 12 5 6 0 1 1 6
62 2 1 17 4 6.5 16 5 5 1 0 1 6
77 0 3 12 3 11.25 12 3 4 1 0 1 .
46 0 0 16 2 120 10 2 2 0 0 1 6
59 0 1 15 1 67.5 . 3 4 0 0 1 5
20 2 0 12 3 27.5 11 2 3 1 0 0 5
63 5 7 18 2 32.5 . 0 2 0 0 1 .
71 0 0 16 3 27.5 16 5 5 1 0 1 .
37 0 0 14 . 55 . 2 2 0 0 0 .
27 1 3 12 . 37.5 . 3 3 1 1 1 .
26 2 2 12 2 55 . 3 4 1 1 1 0
46 0 1 12 3 45 . 2 2 0 0 1 2
56 8 4 3 3 82.5 3 3 5 1 0 1 1
45 7 1 14 3 32.5 . 1 4 1 0 0 6
62 1 2 12 . 45 9 1 4 0 0 1 .
24 2 0 11 . . . 3 6 0 0 0 .
48 4 4 16 4 67.5 16 2 3 0 0 0 6
31 3 0 14 1 45 . 4 4 0 0 0 2
37 7 0 16 1 67.5 16 0 3 0 0 0 5
35 4 2 12 . 21.25 12 0 4 1 0 0 .
26 4 2 12 2 37.5 12 1 2 1 0 1 3
54 3 1 10 3 6.5 . 2 4 1 1 1 3
36 3 1 13 . 27.5 18 0 2 1 0 1 .
79 5 4 12 2 11.25 3 4 4 1 1 1 3
78 6 5 11 . 11.25 10 0 6 1 0 0 .
27 3 0 12 3 23.75 14 2 2 0 0 1 2
20 7 0 14 . . . 2 5 1 0 0 .
41 8 2 12 3 100 . 5 . 0 1 1 .
63 0 0 12 2 37.5 17 4 6 0 0 1 3
25 1 0 13 3 27.5 . 1 4 0 0 0 4
32 0 2 12 . 11.25 3 1 4 1 1 1 .
34 8 2 5 4 8.5 . 1 4 1 0 0 3
46 7 2 16 2 82.5 18 2 3 0 1 0 6
50 4 4 9 . 37.5 0 3 5 0 1 1 .
34 3 3 11 2 37.5 3 2 2 1 0 0 3
22 0 3 11 4 5.5 16 3 4 1 0 1 6
35 2 2 6 . 32.5 . 1 5 0 1 1 .
41 1 3 6 . 23.75 1 2 5 1 1 1 .
53 6 3 3 3 23.75 0 3 2 1 1 1 1
54 1 4 6 3 18.75 6 5 5 1 1 1 0
50 7 0 20 4 . 9 . . 1 0 0 6
38 7 3 13 . 45 12 5 4 1 1 1 .
35 4 4 11 . 37.5 9 0 4 1 1 1 .
19 0 0 12 1 11.25 . 3 4 0 0 0 6
56 6 4 9 4 . 2 2 6 0 1 0 .
46 0 2 16 2 200 . 2 4 0 1 0 6
68 6 2 2 . 27.5 0 0 4 1 1 1 .
41 2 0 14 2 55 14 0 3 1 0 1 6
29 8 2 12 2 . 12 3 5 0 1 1 0
61 7 0 14 . 21.25 . 5 4 1 1 0 .
56 3 0 16 1 55 16 4 4 0 1 1 4
33 3 2 12 . 23.75 12 5 4 1 0 1 .
24 0 0 16 . 45 16 1 3 1 0 0 .
69 3 0 14 . 200 9 0 3 0 1 1 .
61 2 2 17 2 200 12 0 2 0 1 1 6
78 0 0 13 4 8.5 8 2 4 1 0 0 1
43 0 1 12 2 11.25 . 3 4 0 0 1 .
52 3 2 11 . 3.5 . 5 . 0 0 1 .
59 3 0 12 2 2 12 1 2 0 0 1 6
69 2 0 20 . 200 16 0 2 0 0 1 .
37 2 1 14 1 82.5 16 0 2 0 1 1 5
41 5 1 16 1 140 12 1 2 1 1 1 6
59 1 2 16 1 2 16 2 2 1 0 1 6
23 2 0 15 2 18.75 12 . 4 1 0 1 3
19 8 0 12 . 120 12 2 4 0 0 0 .
30 1 0 16 1 27.5 12 2 2 1 0 1 6
75 7 6 10 4 . 0 4 6 1 1 1 4
46 7 2 5 1 . . 1 5 1 0 1 2
19 2 0 12 2 55 8 3 4 0 0 1 5
51 1 1 18 . 200 12 1 4 1 0 0 .
61 0 2 19 . 140 12 5 4 1 1 1 .
45 7 3 13 . 67.5 0 1 4 1 1 1 .
58 2 3 2 3 55 0 1 4 0 1 0 1
79 0 8 7 . . 2 1 5 1 1 1 .
75 7 4 16 2 21.25 14 4 5 1 1 0 4
89 4 4 12 2 18.75 12 6 7 0 0 1 3
41 3 2 12 2 21.25 . 3 4 1 0 0 0
32 0 0 16 2 . 12 4 3 0 1 0 6
58 2 2 16 . 100 18 6 5 1 1 0 .
72 0 3 16 2 55 12 4 6 0 1 1 3
66 0 2 14 2 67.5 12 1 . 1 0 1 6
21 3 0 14 . 11.25 . 2 3 1 0 0 .
45 2 1 12 1 200 12 4 4 1 0 1 6
58 0 0 13 . 67.5 . 3 4 0 1 1 .
50 7 2 12 . 67.5 12 4 4 1 1 1 .
55 4 1 20 . 1 18 0 2 1 0 1 .
43 2 1 14 . 200 18 3 3 0 0 1 .
31 7 1 13 . 32.5 20 3 4 1 1 1 .
30 0 1 13 . 32.5 12 0 4 1 0 1 .
42 5 6 11 3 13.75 12 2 5 1 0 0 .
25 7 4 10 2 23.75 . 3 3 1 1 0 1
59 1 1 11 3 . 16 1 4 1 0 1 5
80 0 4 11 2 37.5 . 5 4 1 0 1 4
58 1 0 12 . 16.25 16 3 5 1 0 1 .
40 8 6 13 . 3.5 12 3 1 1 1 1 .
78 0 1 18 3 45 8 . 4 0 0 1 .
78 5 2 12 . 5.5 8 1 4 1 0 1 .
46 4 3 18 . 200 20 6 5 1 1 1 .
43 1 2 18 2 100 17 4 4 0 1 1 .
81 8 3 16 3 100 8 6 6 0 1 1 1
63 6 3 16 3 . 12 . 5 1 1 0 3
48 3 2 12 3 45 12 0 4 0 0 0 6
48 1 2 12 3 67.5 12 1 4 1 0 0 .
57 2 3 13 2 82.5 . 0 5 0 1 0 6
29 0 1 14 2 18.75 12 0 2 1 0 1 6
30 0 1 14 . . . 2 2 1 0 1 .
29 5 0 16 . 45 . 0 3 1 0 0 .
50 5 5 14 1 67.5 12 0 4 1 0 0 .
61 8 2 10 . . 16 3 3 1 0 1 .
30 0 0 13 . 67.5 12 3 2 0 1 1 .
32 2 2 19 2 82.5 . 1 4 0 1 1 6
18 0 0 11 . 1 . . 5 1 0 1 .
85 0 4 19 3 45 6 0 1 1 0 1 6
51 0 0 12 . 8.5 18 3 4 0 0 1 .
26 0 2 12 2 27.5 12 2 4 1 0 1 3
38 0 1 20 . 140 10 . 5 0 1 1 .
39 4 3 10 1 82.5 0 3 5 1 1 0 .
20 3 0 14 2 100 2 2 6 0 0 1 2
39 7 3 15 2 82.5 . 5 6 1 1 1 2
57 0 2 12 3 140 8 0 4 1 1 1 5
87 7 2 12 3 . 12 6 4 1 0 1 6
81 2 5 10 4 45 11 4 4 1 1 1 3
31 0 1 10 2 55 12 4 4 0 0 1 5
61 7 3 16 . 82.5 14 6 6 1 1 1 .
31 0 1 15 1 45 12 3 3 1 1 1 3
61 0 1 12 1 55 . 0 7 0 1 0 3
39 4 2 12 . 55 . 2 4 1 0 1 .
84 0 0 19 2 200 16 4 4 0 0 1 6
54 0 0 16 1 200 18 2 4 1 1 1 6
26 2 0 12 . 45 12 2 2 0 0 0 .
84 7 2 16 2 . . 3 5 1 1 1 .
60 5 2 16 . 200 18 0 2 0 1 0 .
43 3 0 16 . 100 . 3 5 1 0 1 .
65 2 0 16 3 55 14 0 2 0 0 1 6
34 3 0 19 1 200 16 1 4 1 0 0 6
78 3 2 8 4 . 8 0 2 1 0 1 4
85 4 1 14 4 21.25 . 3 4 1 0 1 .
73 7 2 11 3 16.25 6 1 6 1 0 1 2
25 2 0 15 1 32.5 17 1 4 1 0 1 6
30 3 0 20 1 200 12 3 3 1 1 1 6
46 2 3 12 . 67.5 6 0 4 1 0 0 .
28 0 1 14 . 37.5 8 1 1 1 0 0 .
40 0 5 12 2 27.5 . 1 5 1 0 0 3
25 0 0 12 1 7.5 . 3 2 0 0 0 3
55 1 2 20 2 45 . 0 5 0 1 0 5
19 2 0 11 2 27.5 . 2 3 1 0 0 5
31 7 4 10 3 11.25 11 4 7 1 0 0 0
33 0 3 12 . 27.5 4 2 4 0 1 0 .
27 4 0 19 . 140 20 1 3 0 0 1 .
62 7 2 16 . 120 12 6 6 0 0 1 .
70 0 2 17 1 120 6 0 2 1 1 1 6
58 3 0 16 . 200 . 2 4 0 1 1 .
54 3 1 14 . 67.5 . 3 4 1 1 0 .
50 7 1 12 2 . . 3 4 1 1 0 6
36 8 2 9 2 55 12 0 3 1 1 1 3
34 4 2 15 2 45 8 2 3 1 0 0 6
19 4 0 12 2 82.5 . 2 4 1 0 0 3
39 7 4 12 2 . 12 3 . 1 0 0 .
66 5 4 15 2 82.5 12 1 3 0 1 0 0
73 2 2 19 1 82.5 . 0 1 1 0 1 6
53 2 0 12 . 45 12 1 4 1 0 1 .
41 4 2 16 . 67.5 14 1 4 0 1 1 .
35 1 0 17 . 1 13 3 2 0 0 0 .
23 1 1 13 . 11.25 13 5 2 1 0 1 .
74 3 4 10 1 21.25 . 4 4 1 0 1 3
36 7 3 6 2 45 9 5 5 1 1 0 2
23 0 2 10 2 5.5 12 1 6 0 0 0 3
64 5 0 18 2 82.5 12 6 7 1 1 1 6
39 2 0 18 2 3.5 16 2 3 1 0 0 6
82 7 2 20 1 . 15 . 2 0 1 1 5
50 0 3 18 . 200 20 1 2 0 1 1 .
74 8 3 16 2 67.5 12 0 2 0 1 1 4
45 1 1 17 2 200 12 . 4 1 1 1 6
47 3 4 8 . 100 . 5 5 0 0 1 .
69 4 2 12 3 27.5 16 6 4 1 0 1 0
36 6 2 12 . 120 12 5 6 0 1 1 .
38 2 3 15 . 140 12 5 4 0 1 1 .
42 3 1 20 1 140 10 0 2 1 1 1 6
70 3 2 18 1 140 12 5 6 0 1 1 2
70 7 2 16 . 120 12 4 6 0 1 1 .
53 0 3 13 2 100 10 . 3 1 1 1 6
65 2 0 12 . 67.5 12 3 4 0 1 1 .
29 1 0 18 2 82.5 12 2 4 0 1 1 6
28 0 0 13 3 1 12 1 2 0 0 0 6
63 1 2 15 . . 12 6 4 0 1 1 .
35 8 2 12 . 67.5 12 3 . 1 1 1 .
35 0 4 11 1 5.5 12 1 4 1 0 1 .
50 0 1 16 2 100 16 0 2 1 1 1 6
57 2 1 12 2 55 16 4 5 1 0 1 6
40 1 1 12 2 200 . 0 3 0 0 1 6
32 0 0 17 3 67.5 12 1 1 1 1 1 5
30 7 0 16 1 200 16 6 6 1 0 1 2
30 1 0 16 . 82.5 16 4 5 1 0 1 .
49 7 3 16 1 200 12 5 6 0 1 1 1
58 0 1 15 . 82.5 6 0 4 1 1 1 .
24 7 0 16 2 200 12 3 4 1 0 1 4
49 5 5 16 1 200 . 5 4 1 1 1 3
66 . 1 12 2 . . 3 . 0 1 1 6
43 2 2 16 . 67.5 13 3 4 0 0 1 .
67 1 2 20 2 200 12 0 4 0 1 0 6
69 2 2 16 1 200 12 6 6 1 1 1 3
65 1 3 15 2 82.5 8 0 5 0 1 1 6
52 5 0 12 2 200 3 6 6 0 1 1 6
63 0 2 16 . 200 12 2 2 0 1 1 .
60 0 3 13 2 200 16 2 2 0 1 1 6
20 7 0 13 . . 18 4 4 1 0 1 .
49 8 4 16 . 200 16 5 5 0 1 1 .
36 3 1 18 1 140 18 5 4 1 1 1 3
23 5 0 14 1 . 16 0 7 0 0 0 5
19 2 0 10 3 200 12 2 4 0 0 1 3
57 8 4 20 3 120 0 5 4 0 1 1 .
33 6 . 12 . 23.75 4 3 5 1 1 0 .
39 6 1 6 . . . 1 . 0 0 0 .
33 8 2 12 2 55 . 3 2 0 1 0 3
38 3 1 15 2 32.5 12 1 4 1 0 0 6
57 6 4 12 . 82.5 . 1 5 1 0 0 .
23 0 0 11 2 3.5 12 1 3 0 0 1 6
46 2 5 12 . 27.5 9 0 3 1 1 0 .
23 2 0 13 . 1 12 2 6 1 0 0 .
55 2 3 12 2 82.5 . 0 2 0 0 0 .
22 6 0 14 2 37.5 16 1 2 1 0 0 .
70 3 6 18 . 27.5 6 0 2 1 0 0 .
27 0 0 15 . 82.5 . 3 4 0 0 0 .
58 7 2 16 . 82.5 . 1 4 1 0 0 .
55 5 4 14 2 55 . 0 2 1 0 0 6
36 7 2 20 . 82.5 18 2 4 1 0 0 .
65 5 0 12 1 . 12 3 4 1 0 1 .
64 2 0 16 2 140 9 1 2 1 0 1 6
41 3 3 12 3 37.5 6 0 4 1 1 1 .
58 5 3 12 1 100 12 4 6 0 0 1 5
52 7 4 14 2 200 19 2 7 1 1 1 0
63 3 2 20 . 55 . 0 1 1 0 1 .
70 1 2 16 1 200 13 0 1 0 1 1 6
63 1 0 20 . 200 12 5 3 0 0 1 .
31 7 1 16 1 140 16 . 5 1 1 1 6
88 2 3 20 . 200 20 0 2 0 1 1 .
60 7 1 20 . 200 14 2 4 1 1 0 .
34 7 0 16 . 200 12 0 3 1 1 1 .
35 6 1 19 1 200 16 2 3 0 1 1 6
72 7 3 13 1 32.5 . 0 6 1 0 1 5
77 8 6 12 2 27.5 13 6 7 1 0 1 .
49 5 4 12 . 67.5 12 5 3 0 1 1 .
38 4 1 17 . 45 10 1 5 1 0 0 .
40 2 0 16 . 120 12 1 4 1 0 1 .
37 4 3 16 2 100 11 1 3 1 1 0 6
35 7 0 17 1 100 18 1 3 1 1 1 1
62 8 1 13 2 45 12 0 4 1 0 0 4
32 7 0 13 . 82.5 . 1 4 0 0 0 .
70 7 2 16 2 55 12 6 6 0 1 1 3
44 0 2 20 . 27.5 12 . 3 0 0 0 .
60 5 2 19 . . 6 2 4 0 1 1 .
57 2 1 20 2 200 . 1 3 1 1 0 6
55 0 0 20 2 100 20 6 5 0 0 1 6
39 6 0 15 2 100 . 4 5 0 1 0 0
52 7 7 15 2 37.5 16 2 4 0 1 0 3
22 7 0 10 . 8.5 . 1 6 1 0 0 .
